ID	Score
100	1.15
1000	1.05
10000	1.53
10001	-0.11
10002	0.29
10003	1.54
10005	-1.23
10006	1.47
10007	0.07
10008	-0.03
10009	1.27
1001	-0.44
10010	-0.74
100101467	-1.09
100127889	-0.12
100128569	-1.03
100128927	-0.36
100129075	1.04
100129543	-0.78
100129583	0.66
100129924	0.17
10013	-1.18
100130086	-0.44
100130613	-0.10
100130733	1.93
100130771	0.58
100130988	0.73
100131211	2.10
100132406	-0.43
100132463	-0.87
100132510	0.75
100132708	-0.01
100132731	0.23
100132916	0.13
100137049	-0.56
10014	-0.32
100141515	-0.61
10015	1.84
10017	-0.44
100170841	-0.45
10018	0.81
10019	-0.18
100190949	0.44
1002	-1.00
10020	0.63
10021	-1.09
10022	-0.55
10023	-0.55
10025	1.24
10026	1.32
100272147	0.05
100287226	0.37
100287569	-1.40
100287932	-0.13
100288797	-1.21
100288801	-0.22
100289635	1.77
100293516	0.33
100302652	0.02
100310846	0.47
10036	1.40
10038	-1.66
10039	0.14
1004	0.21
10040	1.38
10042	-0.48
10043	0.53
10044	-0.99
10045	-1.86
10046	-0.81
10047	-0.57
10048	-1.52
10049	-0.97
100499483	-0.15
1005	0.40
10050	1.17
100505503	-0.49
100505621	-0.03
100505724	0.68
100505741	0.08
100505870	0.51
100506581	-0.92
100506627	-2.34
100506658	0.91
100507044	0.63
10051	0.04
10052	-0.47
100526664	0.99
100526739	0.60
100526740	0.06
100526760	-0.12
100526761	1.99
100526767	0.43
100526773	-0.83
100526835	0.53
100527963	-0.72
100527978	1.18
100528018	0.06
100529215	1.43
