RecordNumber,Zipcode,City,State,Country
1,704,PARC PARQUE,PR,US
2,704,PASEO COSTA DEL SUR,PR,US
10,709,BDA SAN LUIS,PR,US
61391,76166,CINGULAR WIRELESS,TX,US
61392,76177,FORT WORTH,TX,US
61393,76177,FT WORTH,TX,US
4,704,URB EUGENE RICE,PR,US
39827,85209,MESA,AZ,US
39828,85210,MESA,AZ,US
49345,32046,HILLIARD,FL,US
49346,34445,HOLDER,FL,US
49347,32564,HOLT,FL,US
49348,34487,HOMOSASSA,FL,US
10,708,BDA SAN LUIS,PR,US
3,704,SECT LANAUSSE,PR,US
54354,36275,SPRING GARDEN,AL,US
54355,35146,SPRINGVILLE,AL,US
54356,35585,SPRUCE PINE,AL,US
76511,27007,ASH HILL,NC,US
76512,27203,ASHEBORO,NC,US
76513,27204,ASHEBORO,NC,US
